Code,Description,Work Type,Labor Hours,FRT
18103101,Motor - Fan Assembly - Rear HVAC (Remove & Install),Remove and Install,1.0,1.0
18103102,Motor - Fan Assembly - Rear HVAC (Remove & Replace),Remove and Replace,1.2,1.2
18103201,Blower Motor - Front HVAC (Remove & Install),Remove and Install,0.72,0.72
18103202,Blower Motor - Front HVAC (Remove & Replace),Remove and Replace,0.48,0.48
18103221,Blower Control FET - Blower Motor - HVAC (Remove & Install),Remove and Install,0.4,0.4
18103222,Blower Control FET - Blower Motor - HVAC (Remove & Replace),Remove and Replace,0.36,0.36
18103601,Hose - Drain - Front HVAC (Remove & Install),Remove and Install,1.55,1.55
18103602,Hose - Drain - Front HVAC (Remove & Replace),Remove and Replace,1.86,1.86
18103801,Duct - HEPA Filter (Remove & Install),Remove and Install,0.3,0.3
18103802,Duct - HEPA Filter (Remove & Replace),Remove and Replace,0.3,0.3
18103901,Hose - Drain - Rear HVAC (Remove & Install),Remove and Install,0.5,0.5
18103902,Hose - Drain - Rear HVAC (Remove & Replace),Remove and Replace,0.6,0.6
18105501,Filter - HEPA,Remove and Install,0.18,0.18
18105502,Filter - HEPA,Remove and Replace,0.18,0.18
18106301,Heater - Front PTC (Remove & Install),Remove and Install,2.04,2.04
18106302,Heater - Front PTC (Remove & Replace),Remove and Replace,2.16,2.16
18106601,Heater - Rear PTC (Remove & Install),Remove and Install,1.2,1.2
18106602,Heater - Rear PTC (Remove & Replace),Remove and Replace,1.2,1.2
18106738,Vehicle Sanitation - Evaporator - Tunap 994 (EMEA),Restore,0.66,0.66
18107001,Sensor - Air Quality (Remove & Install),Remove and Install,0.65,0.65
18107002,Sensor - Air Quality (Remove & Replace),Remove and Replace,0.78,0.78
18107201,Sensor - Ambient Air Temperature (Remove & Install),Remove and Install,0.65,0.65
18107202,Sensor - Ambient Air Temperature (Remove & Replace),Remove and Replace,0.66,0.66
18107531,Sensor - Temperature - Cabin - LH (Remove & Install),Remove and Install,0.2,0.2
18107532,Sensor - Temperature - Cabin - LH (Remove and Replace),Remove and Replace,0.24,0.24
18107541,Sensor - Temperature - Cabin - RH (Remove & Install),Remove and Install,0.2,0.2
