Code,Description,Work Type,Labor Hours,FRT
11403101,Switch - Interior Release - Door - Front - RH (Remove & Install),Remove and Install,0.1,0.1
1145010005,Apply WD-40 to Door Handle Pivot Pins,Maintenance,0.06,0.06
11451001,Handle - Exterior Release - Door - Front - LH (Remove & Install),Remove and Install,0.6,0.6
11451002,Handle - Exterior Release - Door - Front - LH (Remove & Replace),Remove and Replace,0.6,0.6
11451101,Handle - Exterior Release - Door - Front - RH (Remove & Install),Remove and Install,0.6,0.6
11451102,Handle - Exterior Release - Door - Front - RH (Remove & Replace),Remove and Replace,0.6,0.6
11452001,Handle - Exterior Release - Door - Rear - LH (Remove & Install),Remove and Install,0.6,0.6
11452002,Handle - Exterior Release - Door - Rear - LH (Remove & Replace),Remove and Replace,0.6,0.6
11452101,Handle - Exterior Release - Door - Rear - RH (Remove & Install),Remove and Install,0.6,0.6
11452102,Handle - Exterior Release - Door - Rear - RH (Remove & Replace),Remove and Replace,0.6,0.6
11455001,Hall Sensor - Exterior Release - Door - Front - LH (Remove & Install),Remove and Install,0.54,0.54
11455002,Hall Sensor - Exterior Release - Door - Front - LH (Remove & Replace),Remove and Replace,0.54,0.54
11455101,Hall Sensor - Exterior Release - Door - Rear - LH (Remove & Install),Remove and Install,0.5,0.5
11455102,Hall Sensor - Exterior Release - Door - Rear - LH (Remove & Replace),Remove and Replace,0.6,0.6
11456001,Hall Sensor - Exterior Release - Door - Front - RH (Remove & Install),Remove and Install,0.72,0.72
11456002,Hall Sensor - Exterior Release - Door - Front - RH (Remove & Replace),Remove and Replace,0.72,0.72
11456101,Hall Sensor - Exterior Release - Door - Rear - RH (Remove & Install),Remove and Install,0.6,0.6
11456102,Hall Sensor - Exterior Release - Door - Rear - RH (Remove & Replace),Remove and Replace,0.6,0.6
11500004,Moving Glass Wind Noise Diagnosis,General Diagnosis,0.75,0.75
11500010,Window Regulator (Recalibrate),Maintenance,0.06,0.06
11500101,Door Glass - LH - Front (Remove & Install),Remove and Install,0.42,0.42
11500102,Door Glass - LH - Front (Remove & Replace),Remove and Replace,0.3,0.3
