id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
46813,1001050902,Tail Lamp Bracket RH,Remove and Replace,36,2025+ Model Y,0.4,0.4,
39615,1001060101,Rear Bumper Beam,Remove and Install,36,2025+ Model Y,0.4,0.4,
40133,1001060102,Rear Bumper Beam,Remove and Replace,36,2025+ Model Y,0.4,0.4,
37339,10011069,Fascia Front Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,2.99,2.99,
37340,10011070,Fascia Front Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,0.96,0.96,
37341,10011071,Fascia Front Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.52,0.52,
37342,10011072,Fascia Front Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.51,0.51,
37343,10011073,Fascia Front Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.59,0.59,
37344,10011074,Fascia Front Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.41,0.41,
37345,10011075,Fascia Front Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.4,3.4,
37346,10011076,Fascia Front Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.95,0.95,
37347,10011077,Fascia Front Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.39,0.39,
37349,10011079,Fascia Front Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.68,0.68,
37350,10011080,Fascia Front Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.47,0.47,
37351,10011081,Fender Assembly Front LH Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,3.04,3.04,
37352,10011082,Fender Assembly Front LH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,0.96,0.96,
37353,10011083,Fender Assembly Front LH Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.54,0.54,
37354,10011084,Fender Assembly Front LH Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.52,0.52,
37355,10011085,Fender Assembly Front LH Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.6,0.6,
37356,10011086,Fender Assembly Front LH Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.42,0.42,
37357,10011087,Fender Assembly Front LH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.44,3.44,
37359,10011089,Fender Assembly Front LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.37,0.37,
37360,10011090,Fender Assembly Front LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.36,0.36,
37361,10011091,Fender Assembly Front LH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.73,0.73,
37362,10011092,Fender Assembly Front LH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.5,0.5,
37363,10011093,Fender Assembly Front RH Replacement And Paint-CN Only,Paint Work,36,2025+ Model Y,3.04,3.04,
37364,10011094,Fender Assembly Front RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,0.96,0.96,
37365,10011095,Fender Assembly Front RH Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.54,0.54,
37366,10011096,Fender Assembly Front RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.52,0.52,
37367,10011097,Fender Assembly Front RH Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.6,0.6,
37368,10011098,Fender Assembly Front RH Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.42,0.42,
37369,10011099,Fender Assembly Front RH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.44,3.44,
37370,10011100,Fender Assembly Front RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.96,0.96,
