Code,Description,Work Type,Labor Hours,FRT
31033301,Bushing - Sway Bar - Rear (Remove & Install),Remove and Install,4.65,4.65
31033302,Bushing - Sway Bar - Rear (Remove & Replace),Remove and Replace,5.58,5.58
31033401,Link - Stabilizer Bar - Rear - LH (Remove & Install),Remove and Install,0.2,0.2
31033402,Link - Stabilizer Bar - Rear - LH (Remove & Replace),Remove and Replace,0.24,0.24
31033601,Link - Stabilizer Bar - Rear - RH (Remove & Install),Remove and Install,0.2,0.2
31033602,Link - Stabilizer Bar - Rear - RH (Remove & Replace),Remove and Replace,0.24,0.24
31033701,Toe Link Assembly - Rear - RH (Remove & Install),Remove and Install,0.6,0.6
31033702,Toe Link Assembly - Rear - RH (Remove & Replace),Remove and Replace,0.72,0.72
31034006,Performance Suspension Retrofit - Identical,Retrofit,23.0,23.0
31034101,Integral Link - Rear - LH (Remove & Install),Remove and Install,1.5,1.5
31034102,Integral Link - Rear - LH (Remove & Replace),Remove and Replace,1.5,1.5
31034106,Performance Suspension Retrofit - Commercial,Retrofit,8.0,8.0
31034201,Integral Link - Rear - RH (Remove & Install),Remove and Install,1.5,1.5
31034202,Integral Link - Rear - RH (Remove & Replace),Remove and Replace,1.5,1.5
31034501,Bolts - Rear Upper Links to Subframe LH/RH (Remove & Install),Remove and Install,0.9,0.9
31034502,Bolts - Rear Upper Links to Subframe LH/RH (Remove & Replace),Remove and Replace,1.08,1.08
31034701,Bolts - Rear Toe Links to Subframe LH/RH (Remove & Install),Remove and Install,1.5,1.5
31034702,Bolts - Rear Toe Links to Subframe LH/RH (Remove & Replace),Remove and Replace,1.8,1.8
31035101,Link - Aft - Upper - Rear - LH (Remove & Install),Remove and Install,0.3,0.3
31035102,Link - Aft - Upper - Rear - LH (Remove & Replace),Remove and Replace,0.3,0.3
31035201,Link - Aft - Upper - Rear - RH (Remove & Install),Remove and Install,0.3,0.3
31035202,Link - Aft - Upper - Rear - RH (Remove & Replace),Remove and Replace,0.3,0.3
31039000,Suspension - Rear - Check Torque,Test/Adjust,0.84,0.84
31100011,Harness - Adaptive Air Spring Module - Front - LH (Remove & Install),Remove and Install,0.36,0.36
31100012,Harness - Adaptive Air Spring Module - Front - LH (Remove & Replace),Remove and Replace,0.36,0.36
31100021,Harness - Adaptive Air Spring Module - Front - RH (Remove & Install),Remove and Install,0.36,0.36
31100022,Harness - Adaptive Air Spring Module - Front - RH (Remove & Replace),Remove and Replace,0.36,0.36
31100101,Module - Air Suspension - ECU (Remove & Install),Remove and Install,1.2,1.2
31100102,Module - Air Suspension - ECU (Remove & Replace),Remove and Replace,0.54,0.54
31100111,Module - Air Suspension - ECU (Tesla) (LHD) (Remove & Install),Remove and Install,0.4,0.4
31100112,Module - Air Suspension - ECU (Tesla) (LHD) (Remove & Replace),Remove and Replace,0.48,0.48
31100201,Module - Air Suspension - ECU (RHD) (Remove & Install),Remove and Install,0.78,0.78
31100202,Module - Air Suspension - ECU (RHD) (Remove & Replace),Remove and Replace,0.72,0.72
31100211,Module - Air Suspension - ECU (Tesla) (RHD) (Remove & Install),Remove and Install,0.5,0.5
31100212,Module - Air Suspension - ECU (Tesla) (RHD) (Remove & Replace),Remove and Replace,0.6,0.6
31101200,Air Suspension - Pressurize / Depressurize - One Air Spring,Test/Adjust,0.1,0.1
31101201,Air Suspension - Bundle - Rear (Remove & Install),Remove and Install,3.8,3.8
31101202,Air Suspension - Bundle - Rear (Remove & Replace),Remove and Replace,4.56,4.56
31101300,Air Suspension - Pressurize / Depressurize - Two Air Springs,Test/Adjust,0.18,0.18
31101500,Air Suspension - Pressurize / Depressurize - Full System,Test/Adjust,0.18,0.18
31102001,Compressor - Air Suspension - 1st Generation (Remove & Install),Remove and Install,0.96,0.96
31102002,Compressor - Air Suspension - 1st Generation (Remove & Replace),Remove and Replace,0.96,0.96
31102011,Bracket - Compressor - Air Suspension (Remove & Install),Remove and Install,0.6,0.6
31102012,Bracket - Compressor - Air Suspension (Remove & Replace),Remove and Replace,0.6,0.6
31102021,Bracket - Carrier - Compressor - Air Suspension (Remove & Install),Remove and Install,0.6,0.6
31102022,Bracket - Carrier - Compressor - Air Suspension (Remove & Replace),Remove and Replace,0.6,0.6
31102101,Sensor - Ambient Air Temperature - Compressor (Remove & Install),Remove and Install,0.3,0.3
31102102,Sensor - Ambient Air Temperature - Compressor (Remove & Replace),Remove and Replace,0.36,0.36
31102201,Valve Block - Air Suspension (Remove & Install),Remove and Install,0.95,0.95
31102202,Valve Block - Air Suspension (Remove & Replace),Remove and Replace,1.14,1.14
31102301,Compressor - Air Suspension - 2nd Generation (Remove & Install),Remove and Install,0.84,0.84
31102302,Compressor - Air Suspension - 2nd Generation (Remove and Replace),Remove and Replace,0.84,0.84
31102501,Reservoir - Air Suspension (Remove & Install),Remove and Install,0.48,0.48
31102502,Reservoir - Air Suspension (Remove & Replace),Remove and Replace,0.48,0.48
31102801,Sensor - Ride Height - Front - LH (Remove & Install),Remove and Install,0.35,0.35
31102802,Sensor - Ride Height - Front - LH (Remove & Replace),Remove and Replace,0.42,0.42
31102901,Sensor - Ride Height - Front - RH (Remove & Install),Remove and Install,0.35,0.35
31102902,Sensor - Ride Height - Front - RH (Remove & Replace),Remove and Replace,0.42,0.42
31103001,Sensor - Ride Height - Rear - LH (Remove & Install),Remove and Install,0.35,0.35
31103002,Sensor - Ride Height - Rear - LH (Remove & Replace),Remove and Replace,0.42,0.42
31103101,Sensor - Ride Height - Rear - RH (Remove & Install),Remove and Install,0.35,0.35
31103102,Sensor - Ride Height - Rear - RH (Remove & Replace),Remove and Replace,0.42,0.42
31103202,Fill Valve - Air Suspension,Remove and Replace,0.06,0.06
31103801,Air Suspension - Bundle - Front (Remove & Install),Remove and Install,0.95,0.95
31103802,Air Suspension - Bundle - Front (Remove & Replace),Remove and Replace,1.14,1.14
31104001,Air Suspension - Air Line LF (Remove & Install),Remove and Install,0.4,0.4
