Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model S,18,15184802,Trim - Sill Panel - LH - Rear (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15184901,Trim - Sill Panel - RH - Rear (Remove & Install),Remove and Install,0.15,0.15
Model S,18,15184902,Trim - Sill Panel - RH - Rear (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15185001,Footrest - Driver's (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15185002,Footrest - Driver's (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15185101,Trim - 'C' Post Rear - LH (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15185102,Trim - 'C' Post Rear - LH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15185301,Trim - 'C' Post Rear - RH (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15185302,Trim - 'C' Post Rear - RH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15185401,Trim - C-Pillar - Mid - LH (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15185402,Trim - C-Pillar - Mid - LH (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15185501,Trim - C-Pillar - Mid - RH (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15185502,Trim - C-Pillar - Mid - RH (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15185801,Trim - C-Pillar - Lower - LH (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15185802,Trim - C-Pillar - Lower - LH (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15185901,Trim - C-Pillar - Lower - RH (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15185902,Trim - C-Pillar - Lower - RH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15186001,Trim - C-Pillar - Upper - LH (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15186002,Trim - C-Pillar - Upper - LH (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15186101,Trim - C-Pillar - Upper - RH (Remove & Install),Remove and Install,0.15,0.15
Model S,18,15186102,Trim - C-Pillar - Upper - RH (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15190011,Phone Dock - Center Console (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15190012,Phone Dock - Center Console (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15190021,Bracket - Toeboard  (Remove & Install),Remove and Install,0.2,0.2
Model S,18,15190022,Bracket - Toeboard  (Remove & Replace),Remove and Replace,0.24,0.24
Model S,18,15190031,Bracket - Toeboard - LH (Remove & Install),Remove and Install,0.15,0.15
Model S,18,15190032,Bracket - Toeboard - LH (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15190041,Decor - Center Console (Remove & Install),Remove and Install,0.5,0.5
Model S,18,15190042,Decor - Center Console (Remove & Replace),Remove and Replace,0.6,0.6
Model S,18,15190051,Light - Armrest Bin - Center Console (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15190052,Light - Armrest Bin - Center Console (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15190061,Panel - Service - Center Console (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15190062,Panel - Service - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15190311,Bright Strip - Center Console - Rear (Remove & Install),Remove and Install,0.3,0.3
Model S,18,15190312,Bright Strip - Center Console - Rear (Remove & Replace),Remove and Replace,0.36,0.36
Model S,18,15190400401,Decor - Center Console (2025+),Remove and Install,0.6,0.6
Model S,18,15190400402,Decor - Center Console (2025+),Remove and Replace,0.6,0.6
Model S,18,15190400501,Back Panel - Center Console (2025+),Remove and Install,0.18,0.18
Model S,18,15190400502,Back Panel - Center Console (2025+),Remove and Replace,0.18,0.18
Model S,18,15190400601,Configured CenterConsole Assembly (2025+),Remove and Install,0.42,0.42
Model S,18,15190400602,Configured CenterConsole Assembly (2025+),Remove and Replace,0.42,0.42
Model S,18,15190400701,"Side Panel - LH -
  Center Console (2025+)",Remove and Install,0.42,0.42
Model S,18,15190400702,"Side Panel - LH -
  Center Console (2025+)",Remove and Replace,0.42,0.42
Model S,18,15190400801,Airwave Cap - Center Console (2025+),Remove and Install,0.24,0.24
Model S,18,15190400802,Airwave Cap - Center Console (2025+),Remove and Replace,0.24,0.24
Model S,18,15190400901,Angled Power 12VOutlet - Center Console (2025+),Remove and Install,0.18,0.18
Model S,18,15190400902,Angled Power 12VOutlet - Center Console (2025+),Remove and Replace,0.18,0.18
Model S,18,15190611,Switch - Lid - Center Console (Remove & Install),Remove and Install,0.35,0.35
Model S,18,15190612,Switch - Lid - Center Console (Remove & Replace),Remove and Replace,0.42,0.42
Model S,18,15191101,Assembly - Closeout Extension - LH - Center Console (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15191102,Assembly - Closeout Extension - LH - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15191201,Assembly - Closeout Extension - RH - Center Console (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15191202,Assembly - Closeout Extension - RH - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15191601,Decor - Armrest - Center Console (Remove & Install),Remove and Install,0.9,0.9
Model S,18,15191602,Decor - Armrest - Center Console (Remove & Replace),Remove and Replace,1.08,1.08
Model S,18,15191801,Cup Holder - Center Console - 1st Row (Remove & Install),Remove and Install,1.1,1.1
Model S,18,15191802,Cup Holder - Center Console - 1st Row (Remove & Replace),Remove and Replace,1.32,1.32
Model S,18,15191901,Trim - Center Console - 1st Row - Rear (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15191902,Trim - Center Console - 1st Row - Rear (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15192001,Assembly - Panel - Wrapped - LH (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15192002,Assembly - Panel - Wrapped - LH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15192101,Assembly - Panel - Wrapped - RH (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15192102,Assembly - Panel - Wrapped - RH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15192201,Finisher - Floor - Center Console (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15192202,Finisher - Floor - Center Console (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15192301,Vent - Center Console - 1st Row (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15192302,Vent - Center Console - 1st Row (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15192401,Center Console Assembly (Remove & Install),Remove and Install,0.36,0.36
Model S,18,15192402,Center Console Assembly (Remove & Replace),Remove and Replace,0.42,0.42
Model S,18,15192511,Armrest - Center Console (Remove & Install),Remove and Install,0.4,0.4
Model S,18,15192512,Armrest - Center Console (Remove & Replace),Remove and Replace,0.48,0.48
Model S,18,15192601,Drop In Center Console Assembly (Remove & Install),Remove and Install,0.2,0.2
Model S,18,15193001,Panel - Center Console - Wrapped - Rear - LH (Remove & Install),Remove and Install,0.5,0.5
Model S,18,15193002,Panel - Center Console - Wrapped - Rear - LH (Remove & Replace),Remove and Replace,0.6,0.6
Model S,18,15193101,Panel - Center Console - Wrapped - Rear - RH (Remove & Install),Remove and Install,0.5,0.5
Model S,18,15193102,Panel - Center Console - Wrapped - Rear - RH (Remove & Replace),Remove and Replace,0.6,0.6
Model S,18,15193201,Bracket - Toeboard - RH (Remove and Install),Remove and Install,0.15,0.15
Model S,18,15193202,Bracket - Toeboard - RH (Remove and Replace),Remove and Replace,0.18,0.18
Model S,18,15193401,Panel - Wireless Charging - Center Console (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15193402,Panel - Wireless Charging - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15193901,Inductive Charger - Center Console (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15193902,Inductive Charger - Center Console (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15194001,Center Console Assembly - 2nd Row (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15194002,Center Console Assembly - 2nd Row (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15194101,Center Console - 2nd Row - Executive (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15194102,Center Console - 2nd Row - Executive (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15194501,Lid/Hinge - Rear Console - Lower (Remove & Install),Remove and Install,0.5,0.5
Model S,18,15194502,Lid/Hinge - Rear Console - Lower (Remove & Replace),Remove and Replace,0.6,0.6
Model S,18,15195201,Panel - Lower Rear - Center Console (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15195202,Panel - Lower Rear - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15196801,Carpet - Side Panel - Center Console - LH (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15196802,Carpet - Side Panel - Center Console - LH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15196811,Side Panel - Center Console - LH (Remove & Install),Remove and Install,0.35,0.35
Model S,18,15196812,Side Panel - Center Console - LH (Remove & Replace),Remove and Replace,0.42,0.42
Model S,18,15196901,Carpet - Side Panel - Center Console - RH (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15196902,Carpet - Side Panel - Center Console - RH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15196911,Side Panel - Center Console - RH (Remove & Install),Remove and Install,0.35,0.35
Model S,18,15196912,Side Panel - Center Console - RH (Remove & Replace),Remove and Replace,0.42,0.42
Model S,18,15197001,Premium Console Insert (Remove and Install),Remove and Install,0.18,0.18
Model S,18,15202101,Overhead Console (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15202102,Overhead Console (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15203101,Headliner (Remove & Install),Remove and Install,0.96,0.96
Model S,18,15203102,Headliner (Remove & Replace),Remove and Replace,0.96,0.96
Model S,18,15204201,Microphone - Headliner - Front - LH (Remove & Install),Remove and Install,0.35,0.35
Model S,18,15204211,Microphone - Headliner - Front - RH (Remove & Install),Remove and Install,0.35,0.35
Model S,18,15204212,Microphone - Headliner - Front - RH (Remove and Replace),Remove and Replace,0.42,0.42
Model S,18,15204301,Coat Hook - Rear - LH (Remove & Install),Remove and Install,0.25,0.25
Model S,18,15204302,Coat Hook - Rear - LH (Remove & Replace),Remove and Replace,0.3,0.3
Model S,18,15204401,Coat Hook - Rear - RH (Remove & Install),Remove and Install,0.25,0.25
Model S,18,15204402,Coat Hook - Rear - RH (Remove & Replace),Remove and Replace,0.3,0.3
Model S,18,15240011,Trim - Side Wall - Trunk - LH (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15240012,Trim - Side Wall - Trunk - LH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15240701,Underhood Storage Unit - 1st Generation (RWD) (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15240702,Underhood Storage Unit - 1st Generation (RWD) (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15240901,Underhood Storage Extension Box (Remove & Install),Remove and Install,0.1,0.1
Model S,18,15240902,Underhood Storage Extension Box (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15241002,Access Panel - Underhood Storage Unit (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15241101,Assembly - Hood Latch Cover (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15241102,Assembly - Hood Latch Cover (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15241201,Lamp - Underhood Storage Area (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15241202,Lamp - Underhood Storage Area (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15242001,Underhood Storage Unit - 1st Generation (Dual Motor) (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15242002,Underhood Storage Unit - 1st Generation (Dual Motor) (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15242301,Underhood Storage Unit - 2nd Generation (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15242302,Underhood Storage Unit - 2nd Generation (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15242307,Underhood Storage Unit - 2nd Generation - Remove,Modify,0.06,0.06
Model S,18,15244801,Trim - Sill - Trunk (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15244802,Trim - Sill - Trunk (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15245001,Trim - Side - Trunk  - LH (Remove & Install),Remove and Install,0.24,0.24
Model S,18,15245002,Trim - Side - Trunk - LH (Remove & Replace),Remove and Replace,0.24,0.24
Model S,18,15245101,Trim - Rear Trunk - Side - RH (Remove & Install),Remove and Install,0.24,0.24
Model S,18,15245102,Trim - Rear Trunk - Side - RH (Remove & Replace),Remove and Replace,0.24,0.24
Model S,18,15245301,Trim - Front - Floor - Trunk (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15245302,Trim - Front - Floor - Trunk (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15245401,Carpet - Rear Trunk (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15245402,Carpet - Rear Trunk (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15245601,Trim - Rear Trunk - Rear Wall (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15245602,Trim - Rear Trunk - Rear Wall (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15245701,Parcel Shelf - Rear Trunk (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15245702,Parcel Shelf - Rear Trunk (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15246001,Charge Port Cover Trim (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15246002,Charge Port Cover Trim (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15248101,Trim - Side Wall - Trunk - RH (Remove and Install),Remove and Install,0.1,0.1
Model S,18,15248102,Trim - Side Wall - Trunk - RH (Remove and Replace),Remove and Replace,0.12,0.12
Model S,18,15300011,Panel - Footrest - Front Passenger (LHD) (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15300012,Panel - Footrest - Front Passenger (LHD) (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15300041,Insulator - Top Cowl (Remove & Install),Remove and Install,0.85,0.85
Model S,18,15300042,Insulator - Top Cowl (Remove & Replace),Remove and Replace,1.02,1.02
Model S,18,15301000201,BolsterFoam Bag - Seat - RH (2025+),Remove and Install,0.06,0.06
Model S,18,15301000202,BolsterFoam Bag - Seat - RH (2025+),Remove and Replace,0.06,0.06
Model S,18,15301000301,Soft TrimWheelhouse Insulator - LH (2025+),Remove and Install,0.96,0.96
Model S,18,15301000302,Soft TrimWheelhouse Insulator - LH (2025+),Remove and Replace,0.96,0.96
Model S,18,15301000401,Dash Insulator (2025+),Remove and Install,4.38,4.38
Model S,18,15301000402,Dash Insulator (2025+),Remove and Replace,4.38,4.38
Model S,18,15301201,Insulator - Dash - Interior - RH (Remove & Install),Remove and Install,6.5,6.5
Model S,18,15301202,Insulator - Dash - Interior - RH (Remove & Replace),Remove and Replace,6.5,6.5
Model S,18,15301506,Install 2 Floor Mat Attachments,Remove and Install,0.12,0.12
Model S,18,15301901,Floor Mat Set (Remove & Install),Remove and Install,0.05,0.05
Model S,18,15301902,Floor Mat Set (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15302001,Carpet - Underhood Storage - 1st Generation - RWD  (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15302002,Carpet - Underhood Storage (RWD) (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15302101,Carpet - Interior Complete (Remove & Install),Remove and Install,1.44,1.44
Model S,18,15302102,Carpet - Interior Complete (Remove & Replace),Remove and Replace,1.44,1.44
Model S,18,15302301,Carpet - Underhood Storage - 1st Generation - Dual Motor (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15302302,Carpet - Underhood Storage - 1st Generation - Dual Motor (Remove & Replace),Test/Adjust,0.06,0.06
Model S,18,15302401,Carpet - Underhood Storage - 2nd Generation (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15302402,Carpet - Underhood Storage - 2nd Generation (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15303001,Cupholder - 2nd Row - LH (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15303002,Cupholder - 2nd Row - LH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15303101,Cupholder - 2nd Row - RH (Remove & Install),Remove and Install,0.12,0.12
Model S,18,15303102,Cupholder - 2nd Row - RH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,15305101,Trunk Load Floor - Rear (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15305102,Trunk Load Floor - Rear (Remove and Replace),Remove and Replace,0.06,0.06
Model S,18,15305201,Bracket - Trunk Load Floor - LH (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15305202,Bracket - Trunk Load Floor - LH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15305301,Bracket - Trunk Load Floor - RH (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15305302,Bracket - Trunk Load Floor - RH (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15305401,Trunk Load Floor - Side (Remove & Install),Remove and Install,0.06,0.06
Model S,18,15305402,Trunk Load Floor - Side (Remove & Replace),Remove and Replace,0.06,0.06
Model S,18,15306219,Vehicle Accessories (Retrofit),Retrofit,0.05,0.05
Model S,18,15307101,Insulator - Wheelhouse - Rear - LH (Remove & Install),Remove and Install,1.02,1.02
Model S,18,15307102,Insulator - Wheelhouse - Rear - LH (Remove & Replace),Remove and Replace,1.02,1.02
Model S,18,15307201,Insulator - Wheelhouse - Rear - RH (Remove & Install),Remove and Install,0.9,0.9
Model S,18,15307202,Insulator - Wheelhouse - Rear - RH (Remove & Replace),Remove and Replace,0.9,0.9
Model S,18,15307301,Insulator - Top Cowl (Remove & Install),Remove and Install,1.14,1.14
Model S,18,15307302,Insulator - Top Cowl (Remove & Replace),Remove and Replace,1.14,1.14
Model S,18,15308201,NVH Insulator - Floor - Rear Trunk (Remove & Install),Remove and Install,0.18,0.18
Model S,18,15308202,NVH Insulator - Floor - Rear Trunk (Remove & Replace),Remove and Replace,0.18,0.18
Model S,18,15308401,Insulator - Dash (Remove & Install),Remove and Install,5.4,5.4
Model S,18,15308402,Insulator - Dash (Remove & Replace),Remove and Replace,5.4,5.4
Model S,18,15308501,Insulator - Motor Bay - Rear (Remove & Install),Remove and Install,0.24,0.24
Model S,18,15308502,Insulator - Motor Bay - Rear (Remove & Replace),Remove and Replace,0.24,0.24
Model S,18,15308601,Insulator - Motor Bay - Front (Remove & Install),Remove and Install,0.24,0.24
Model S,18,15308602,Insulator - Motor Bay - Front (Remove & Replace),Remove and Replace,0.24,0.24
Model S,18,15308701,Insulator - Dash (HW4) (Remove & Install),Remove and Install,5.22,5.22
Model S,18,15308702,Insulator - Dash (HW4) (Remove and Replace),Remove and Replace,5.22,5.22
Model S,18,16010005,HV Battery Coolant - Drain and Refill (With Battery Removed),Remove and Replace,0.15,0.15
Model S,18,16010020,HV Battery Pack Isolation Inspection,Inspection,0.9,0.9
Model S,18,16010201,HV Battery (AWD),Remove and Install,2.88,2.88
Model S,18,16010202,HV Battery (AWD),Remove and Replace,3.72,3.72
Model S,18,16010302,Flood Port - RH,Remove and Replace,0.84,0.84
Model S,18,16010500,HV Battery Health Test,Inspection,0.15,0.15
Model S,18,16010501,Tape - Sideski Ventcover - HV Battery - RH (Remove and Install),Remove and Install,0.8,0.8
Model S,18,16010502,Tape - Sideski Ventcover - HV Battery - RH (Remove and Replace),Remove and Replace,0.96,0.96
Model S,18,16010806,Access Ports – Shipping Crate – HV Battery (Retrofit),Retrofit,0.12,0.12
Model S,18,16011001,Rapid Mate Plate - HV Battery (Remove & Install),Remove and Install,2.4,2.4
Model S,18,16011002,Flood Port - LH,Remove and Replace,0.84,0.84
Model S,18,16011102,Flood Port - RH (Remove & Replace),Remove and Replace,0.96,0.96
Model S,18,16012001,Tape - Sideski Ventcover - HV Battery - LH (Remove & Install),Remove and Install,0.8,0.8
Model S,18,16012002,Tape - Sideski Ventcover - HV Battery - LH (Remove & Replace),Remove and Replace,0.96,0.96
Model S,18,16012201,Tape - Sideski Ventcover - HV Battery - LH/RH (Remove & Install),Remove and Install,1.5,1.5
Model S,18,16012202,Tape - Sideski Ventcover - HV Battery - LH/RH (Remove & Replace),Remove and Replace,1.8,1.8
Model S,18,16012301,Ski - Side Rail - HV Battery - LH (Remove & Install),Remove and Install,1.4,1.4
Model S,18,16012302,Ski - Side Rail - HV Battery - LH (Remove & Replace),Remove and Replace,1.68,1.68
Model S,18,16012401,Ski - Side Rail - HV Battery - RH (Remove & Install),Remove and Install,1.4,1.4
Model S,18,16012402,Ski - Side Rail - HV Battery - RH (Remove & Replace),Remove and Replace,1.68,1.68
Model S,18,16013008,HV Battery Enclosure - Re-seal - Level 1,Restore,0.6,0.6
Model S,18,16013108,HV Battery Enclosure - Re-seal - Level 2,Restore,1.2,1.2
Model S,18,16014205,Battery Disassembly (APAC),Repair,0.0,0.0
Model S,18,16014501,HV Battery Swap (Remove & Install),Remove and Install,0.0,0.0
Model S,18,16015300,Discharge HV Battery (At Pack Contactors),Test/Adjust,1.02,1.02
Model S,18,16015400,Discharge HV Battery (Smart Mode),Test/Adjust,1.38,1.38
Model S,18,16015500,Discharge HV Battery (Through Touchscreen Service Mode),Test/Adjust,0.06,0.06
Model S,18,16018725,HV Battery Vitals Inspection,Inspection,0.06,0.06
Model S,18,16100012,Cover - Pyrotechnic Fuse - HV Battery (Remove & Replace),Remove and Replace,0.3,0.3
Model S,18,16100021,Ground Cable - HV Battery (Remove & Install),Remove and Install,0.4,0.4
Model S,18,16100022,Ground Cable - HV Battery (Remove & Replace),Remove and Replace,0.48,0.48
Model S,18,16101011,Cover - Front Access - HV Battery (Remove & Install),Remove and Install,4.14,4.14
Model S,18,16101012,Cover - Front Access - HV Battery (Remove & Replace),Remove and Replace,4.14,4.14
Model S,18,16101021,Cover - Rear Access - HV Battery (Remove & Install),Remove and Install,3.5,3.5
Model S,18,16101022,Cover - Rear Access - HV Battery (Remove & Replace),Remove and Replace,4.2,4.2
Model S,18,16102001,Cover - Ski - Side Rail - HV Battery - Front - LH (Remove & Install),Remove and Install,0.12,0.12
Model S,18,16102002,Cover - Ski - Side Rail - HV Battery - Front - LH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,16102100,HV Battery Air Leak Test,Test/Adjust,0.36,0.36
Model S,18,16102101,Cover - Ski - Side Rail - HV Battery - Front - RH (Remove & Install),Remove and Install,0.1,0.1
Model S,18,16102102,Cover - Ski - Side Rail - HV Battery - Front - RH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,16102110,HV Battery Air Leak Test (On Table),Test/Adjust,0.18,0.18
Model S,18,16102201,Cover - Ski - Side Rail - HV Battery - Mid - LH (Remove & Install),Remove and Install,0.12,0.12
Model S,18,16102202,Cover - Ski - Side Rail - HV Battery - Mid - LH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,16102301,Cover - Ski - Side Rail - HV Battery - Mid - RH (Remove & Install),Remove and Install,0.1,0.1
Model S,18,16102302,Cover - Ski - Side Rail - HV Battery - Mid - RH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,16102401,Cover - Ski - Side Rail - HV Battery - Rear - LH (Remove & Install),Remove and Install,0.1,0.1
Model S,18,16102402,Cover - Ski - Side Rail - HV Battery - Rear - LH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,16102501,Cover - Ski - Side Rail - HV Battery - Rear - RH (Remove & Install),Remove and Install,0.1,0.1
Model S,18,16102502,Cover - Ski - Side Rail - HV Battery - Rear - RH (Remove & Replace),Remove and Replace,0.12,0.12
Model S,18,16102711,Flood Port (Remove & Install),Remove and Install,1.38,1.38
Model S,18,16102712,Flood Port Plunger,Remove and Replace,0.48,0.48
Model S,18,16102732,Flood Port Assembly,Remove and Replace,0.06,0.06
Model S,18,16102741,Umbrella Valve - HV Battery - Set,Remove and Install,0.66,0.66
Model S,18,16102742,Umbrella Valve - Set,Remove and Replace,0.66,0.66
Model S,18,16200210,Power Conversion System Coolant Leak Test,Test/Adjust,2.45,2.45
Model S,18,16202001,Tube - Input - Coolant - Power Conversion  System (Remove & Install),Remove and Install,4.86,4.86
Model S,18,16202002,Tube - Input - Coolant - Power Conversion  System (Remove & Replace),Remove and Replace,4.38,4.38
Model S,18,16202201,Tube - Output - Coolant - Power Conversion System (Remove & Install),Remove and Install,4.86,4.86
Model S,18,16202202,Tube - Output - Coolant - Power Conversion System (Remove & Replace),Remove and Replace,4.38,4.38
Model S,18,16300001,Pyrotechnic Battery Disconnect (Remove & Install),Remove and Install,0.9,0.9
Model S,18,16300002,Pyrotechnic Battery Disconnect (Remove & Replace),Remove and Replace,0.9,0.9
Model S,18,16300011,Carrier - Connector - Front - HV Battery (Remove & Install),Remove and Install,4.45,4.45
Model S,18,16300012,Carrier - Connector - Front - HV Battery (Remove & Replace),Remove and Replace,4.8,4.8
Model S,18,16300021,Harness - LV - Front - HV Battery (Remove & Install),Remove and Install,4.6,4.6
Model S,18,16300022,Harness - LV - Front - HV Battery (Remove & Replace),Remove and Replace,5.04,5.04
Model S,18,16300061,Harness - Pyrotechnic - HV Battery (Remove & Install),Remove and Install,4.25,4.25
Model S,18,16300062,Harness - Pyrotechnic - HV Battery (Remove & Replace),Remove and Replace,5.1,5.1
Model S,18,16300071,HV Harness - Heat Pump - HV Battery (Remove & Install),Remove and Install,4.55,4.55
Model S,18,16300072,HV Harness - Heat Pump - HV Battery (Remove & Replace),Remove and Replace,5.46,5.46
Model S,18,16300081,HV Header - 6 Pin - HV Battery (Remove & Install),Remove and Install,0.85,0.85
Model S,18,16300082,HV Header - 6 Pin - HV Battery (Remove & Replace),Remove and Replace,1.02,1.02
Model S,18,16300100,Resistance Meter (Zero Adjust),Test/Adjust,0.05,0.05
Model S,18,16301001,Power Conversion System (Remove & Install),Remove and Install,5.04,5.04
Model S,18,16301002,Power Conversion System (Remove & Replace),Remove and Replace,4.62,4.62
Model S,18,16301601,HV Controller,Remove and Install,5.46,5.46
Model S,18,16301602,HV Controller,Remove and Replace,4.98,4.98
Model S,18,16302001,Contactor - Negative  - HV Battery (Remove & Install),Remove and Install,5.28,5.28
Model S,18,16302002,Contactor - Negative  - HV Battery (Remove & Replace),Remove and Replace,4.62,4.62
Model S,18,16302101,Contactor - Positive - HV Battery (Remove & Install),Remove and Install,4.74,4.74
Model S,18,16302102,Contactor - Positive - HV Battery (Remove and Replace),Remove and Replace,4.02,4.02
Model S,18,16302601,Contactor - Fast Charge - HV Battery (Remove & Install),Remove and Install,4.74,4.74
Model S,18,16302602,Contactor - Fast Charge - HV Battery (Remove and Replace),Remove and Replace,4.08,4.08
Model S,18,16303601,Shunt - HV Battery (Remove & Install),Remove and Install,4.35,4.35
Model S,18,16303602,Shunt - HV Battery (Remove & Replace),Remove and Replace,4.8,4.8
Model S,18,16304201,Fuse - A/C Compressor - HV Battery (Remove & Install),Remove and Install,4.62,4.62
Model S,18,16304202,Fuse - A/C Compressor - HV Battery (Remove & Replace),Remove and Replace,4.74,4.74
Model S,18,16304401,Fuse - Power Conversion System - HV Battery (Remove & Install),Remove and Install,5.16,5.16
Model S,18,16304402,Fuse - Power Conversion System - HV Battery (Remove & Replace),Remove and Replace,4.74,4.74
Model S,18,16305001,Harness - HV Battery - High Voltage Controller (Remove & Install),Remove and Install,5.1,5.1
Model S,18,16305002,Harness - HV Battery - High Voltage Controller (Remove & Replace),Remove and Replace,4.62,4.62
Model S,18,16306101,HV Header - Front Drive Unit - HV Battery (Remove & Install),Remove and Install,0.85,0.85
