Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,35,1001040021,Fascia - Rear - Lower - Base,Remove and Install,0.6,0.6
Model 3,35,1001040022,Fascia - Rear - Lower (Base),Remove and Replace,0.6,0.6
Model 3,35,1001040031,Fascia - Rear - Lower,Remove and Install,0.6,0.6
Model 3,35,1001040032,Fascia - Rear - Lower (Performance),Remove and Replace,0.6,0.6
Model 3,35,1001040041,Bracket - Tail Lamp - LH,Remove and Install,0.36,0.36
Model 3,35,1001040042,Bracket - Tail Lamp - LH,Remove and Replace,0.36,0.36
Model 3,35,1001040051,Bracket - Tail Lamp - RH,Remove and Install,0.36,0.36
Model 3,35,1001040052,Bracket - Tail Lamp - RH,Remove and Replace,0.36,0.36
Model 3,35,1001040061,Bracket - Rear - Center,Remove and Install,0.42,0.42
Model 3,35,1001040062,Bracket - Rear - Center,Remove and Replace,0.42,0.42
Model 3,35,1001040071,Bracket - Rear Wing - LH,Remove and Install,0.36,0.36
Model 3,35,1001040072,Bracket - Rear Wing - LH,Remove and Replace,0.36,0.36
Model 3,35,1001040081,Bracket - Rear Wing - RH,Remove and Install,0.36,0.36
Model 3,35,1001040082,Bracket - Rear Wing - RH,Remove and Replace,0.36,0.36
Model 3,35,1001050011,Bumper Beam - Rear,Remove and Install,0.42,0.42
Model 3,35,1001050012,Bumper Beam - Rear,Remove and Replace,0.42,0.42
Model 3,35,10011069,Fascia Front Replacement And Paint-CN Only,Paint Work,3.47,3.47
Model 3,35,10011070,Fascia Front Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,0.84,0.84
Model 3,35,10011071,Fascia Front Replacement And Paint - Sealer Spary-CN Only,Refinish,0.67,0.67
Model 3,35,10011072,Fascia Front Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.64,0.64
Model 3,35,10011073,Fascia Front Replacement And Paint - Painting-CN Only,Paint Work,0.77,0.77
Model 3,35,10011074,Fascia Front Replacement And Paint - Polishing-CN Only,Paint Work,0.55,0.55
Model 3,35,10011075,Fascia Front Removal Refit And Paint-CN Only,Paint Work,3.47,3.47
Model 3,35,10011076,Fascia Front Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,0.84,0.84
Model 3,35,10011077,Fascia Front Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.4,0.4
Model 3,35,10011079,Fascia Front Removal Refit And Paint - Painting-CN Only,Paint Work,0.77,0.77
Model 3,35,10011080,Fascia Front Removal Refit And Paint - Polishing-CN Only,Paint Work,0.55,0.55
Model 3,35,10011081,Fender Assembly Front LH Replacement And Paint-CN Only,Paint Work,3.5,3.5
Model 3,35,10011082,Fender Assembly Front LH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.02,1.02
Model 3,35,10011083,Fender Assembly Front LH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.66,0.66
